"","CTRL.NORM.175","CTRL.NORM.176","CTRL.NORM.177","SICD248.NORM.187","SICD248.NORM.188","SICD248.NORM.189","CTRL.HYPO.202","CTRL.HYPO.203","CTRL.HYPO.204","SICD248.HYPO.208","SICD248.HYPO.209","SICD248.HYPO.210"
"23068496",4.61696316678306,4.90529834871229,4.71592820914138,4.99275647070813,4.62924643987624,5.0187928688414,5.42970103596189,4.90009966138352,4.72130492268971,4.90476780432034,4.67681236941223,4.95436976534286
"23068500",5.64212604537813,5.84264853905365,5.88409039456784,6.17975355726011,5.6206817148564,5.8187294662,6.36211859082999,6.11008233963291,5.94861243397411,6.06790948954735,5.73201167179263,5.87735651825881
"23068503",5.56161216730999,5.22880072391972,5.70845303501564,5.38024848844321,5.60964535931269,5.71786037059202,5.68975826174164,6.00068599612883,5.95121441198821,5.6747506317239,5.56209053966024,5.41646764860141
"23068504",5.97987103941174,5.50468049196376,5.776022468942,5.43022915685649,5.40692675155003,5.42444241717088,6.36025575542304,6.19425445694963,6.07751871542315,6.05587825102073,6.26045547301062,6.29931091462321
"23068508",3.8636021312593,3.84047497333589,3.84238113696624,3.97688902718656,4.12010306006471,4.05503697012942,4.28808252312495,4.45804275280601,4.2743846994535,4.37744468353708,4.23257038851812,4.14804229327322
"23068510",5.16365795810759,5.10422584472725,4.60922073338789,4.98777057912511,5.23225702725687,4.83072154882833,5.49073947153558,5.06538950264279,5.2737555475727,5.35698422618711,5.28382467709079,5.44724759371795
"23068512",6.61439518472721,6.74421337348135,6.31382190229125,6.13241815545919,5.74954273946949,5.68851184762696,6.89159066522001,7.16725882960815,6.83749798271239,6.62195778338353,6.89808910746808,6.66715652653576
"23068514",3.54374692198846,3.79319143524013,3.9942781923367,3.45624750513113,3.6747665621083,4.02322938176269,3.91185473097028,4.03629231892554,4.04792317985478,4.14615908241797,4.15000132900813,3.7941439949407
"23068515",5.66324416233861,5.55569317543512,5.04877543119773,5.59992130938028,5.3223404559739,5.36742453004555,5.31119231689229,5.08804320468881,5.26534840952693,5.22653116303932,5.32820103153792,5.0319306448846
"23068519",3.77785680126806,4.11007363807004,3.81107068031755,3.89911837256028,4.05216332629484,3.58790243785668,3.6334728013072,3.398561590577,3.68281018307207,3.32423646834421,3.54712981925286,3.47266657472691
"23068520",4.36448144277756,4.61671882790814,3.79089606041354,4.47719561963922,4.84997374414505,4.20665623981708,4.0397717721792,4.05116854228902,4.0534928774115,4.49347019830172,4.13003433432516,5.07785996435899
"23068521",8.5851787036602,8.81116235343861,8.62029986796116,9.30432094789253,9.34493835973207,9.2240074456332,9.52958209011912,9.44356917456312,9.68009489664242,9.78642926374475,9.89419698977839,10.0016721714198
"23068527",4.13593516322753,3.8133321158023,4.15842476728344,4.21933751156499,3.53309646134662,3.64902428647322,4.40149463369752,4.2799008969502,4.52688955113923,4.0635247794988,4.80296128167431,4.2240687883494
"23068528",4.50495629481198,4.61264368418265,4.50371671343812,4.45070677492515,4.7848099178938,4.50120553881715,4.85236198042881,5.08905551367989,4.50351069362134,4.28200630278315,5.19980802733977,4.48158850591088
"23068529",5.69885205374035,6.06735979816204,6.24879327982563,6.10364476543926,5.77325409875671,6.30744453743913,5.98508823391839,6.27645461325345,5.95245383814572,6.21080977460527,6.44273543838036,6.253920185566
"23068530",7.69267528241763,7.38562892161897,7.46258739456223,7.71887585202236,7.50122522587335,7.26231009240909,6.94841395632438,6.56460754387273,7.29287743600723,7.12673749831902,7.26065274298911,7.0866934491565
"23068532",5.66482379005055,6.26156307272994,5.154938145094,5.1805889132184,5.32876699292887,5.21996282746456,6.39500187790586,6.08518557707034,6.30844400240796,5.98055436065361,5.98002593347313,6.27479553000827
"23068533",6.76747670891415,6.46053759446187,6.48748566510225,6.24088067621767,5.45164776257297,5.49424087847103,4.69236112399128,5.546190453913,5.4935234806071,4.67641464765748,5.36373280610768,4.71788402238983
"23068534",3.95456873646834,3.44334636750971,3.71231631707621,3.63260607450293,3.39355882329889,3.81334883667981,3.93462747960195,3.79724471958412,3.522391655545,3.42431461290998,3.65523191823813,3.68422218562347
"23068537",3.69002327629689,3.8004445667382,4.15525004305527,4.11714072630419,4.07334480410527,3.94553907583103,3.96987509503967,4.42145336788378,4.04329306816473,4.06481468042843,3.76083480640138,4.22197831242217
"23068539",5.84388998638641,6.18228718429972,5.99772178950379,5.87635200874968,5.99594047194102,5.71919186389696,5.62143061149491,5.38434361460977,5.7110166509802,5.7933548773595,5.58754195587453,5.5756229866749
"23069176",5.81821058372251,6.07179475178537,5.92149616519634,6.46526552017421,6.0927221023688,5.84644822053572,6.15612656954723,5.85568326528103,5.97527490615103,6.04647063675685,6.16144099459035,6.19925030667971
"23069178",3.86522862573917,3.58516004512764,3.59153288533784,3.50460043175894,3.81666842125616,4.00293288579678,4.14437079684906,4.02847172896595,3.52283305972385,3.79355303660541,3.77606801186056,3.91523483150772
"23069184",7.4041403445162,7.44258630032732,7.0432689953929,6.9394554609396,6.9599586041502,7.03869976438921,6.30535585266768,6.00338028788612,6.4387705025927,6.40986817416832,6.80519876205678,6.63858105136258
"23069193",6.39654280009991,6.11409960055926,6.21972059028328,6.63927475050595,6.59621378540997,6.81814571976835,6.33355070416767,6.32292270878759,5.98243283521783,6.35395377364561,6.72948006279256,6.14611737937767
"23069196",8.22727234182187,8.26390936243753,7.75767304768192,8.23951418114178,8.13879664680316,7.63431959668363,8.6107548952844,8.45322335540267,8.74174285691548,8.52401015449781,8.18531108460803,8.39891475370512
"23069197",6.92877572112438,7.12095851554942,6.59581013926254,6.79924771046188,7.1136896038384,7.02371416754201,6.45743246483687,6.19198202310792,6.36512683972449,6.53761874388854,6.49992020832931,6.19107083251473
"23069200",8.26522494961858,8.3928613080412,7.91433569610095,8.4277875749085,8.1252015263393,7.91809716939642,8.61496711027054,8.85554197671125,8.78259699585442,8.4976152419716,8.28305865994335,8.48895586647559
"23069202",8.3272102796519,8.31286081551661,7.87498791701538,8.2305290373868,8.15143767097142,7.89137796689408,8.65975393522687,8.60625025886377,8.77084883975474,8.56073424676355,8.53224820689842,8.49210151879239
"23069204",4.90442519576775,4.88113219046517,4.90978946548548,5.10618803723204,4.59237268950771,5.26673637937775,5.20834208718519,5.55016472811129,5.17194726859729,5.25883510899483,4.91982665550356,5.12677136260548
"23069209",9.02999123311862,9.05463733636361,8.6902907974154,9.18435234045103,9.10211709227514,8.83973140168043,9.49589864767936,9.4811047792605,9.59534884725624,9.24673625672984,9.33138394271008,9.15934168627581
"23069210",5.46224309953574,5.61118967903379,5.85027667066907,5.04577934924701,5.23254229023843,5.23885456908292,5.10985900862674,5.31284368662998,5.30322278047784,5.51605896166955,5.66248332637426,4.88112706375013
"23069211",6.38662772486257,6.42890931050704,6.59934299694643,6.78973774337298,6.67432190883019,6.3511893477713,6.73361964157288,6.73552843003262,6.74472209812569,6.66899985013333,6.73904124562923,6.65935395708277
"23069214",6.59507351357974,6.76000644342806,6.53774188586253,7.143687227033,7.26419589702622,7.25974171834052,6.89488681034346,6.35418426480767,6.83434151579005,7.23133939893111,6.99967303339152,6.84656082189075
"23069215",6.30890207931586,6.59804788470406,6.29252469164525,5.91654442520659,6.29412815457735,6.18230143362219,5.51607831071498,5.6608651841875,5.56734941681592,5.74995078967024,5.35110504869436,5.76079506935279
"23069219",4.8785130505311,4.88715194649313,4.63448101919888,4.8151255249556,5.20065179487066,5.01068777739111,5.39426668948666,4.81395416347417,5.2193324037246,5.47051808744471,5.21454810861973,4.70584127956909
